,Season,Game Date,Game Time,Home Team,Home Score,Away Score,Away Team,Report Link
0,19/20,12/10/2019,12:50,Minas,85,93,Flamengo,https://lnb.com.br/partidas/nbb-2019-2020-minas-x-flamengo-12102019-1250/
1,19/20,12/10/2019,16:00,UNIFACISA,101,86,Rio Claro,https://lnb.com.br/partidas/nbb-2019-2020-unifacisa-x-rio-claro-12102019-1600/
2,19/20,14/10/2019,19:30,Basq. Cearense,87,90,Rio Claro,https://lnb.com.br/noticias/basquete-cearense-87-x-90-renata-rio-claro/
3,19/20,14/10/2019,20:00,Minas,84,85,Botafogo,https://lnb.com.br/noticias/minas-84-x-85-botafogo/
4,19/20,15/10/2019,20:00,Paulistano,93,75,São José,https://lnb.com.br/noticias/paulistano-93-x-75-sao-jose/
5,19/20,15/10/2019,20:00,Corinthians,84,97,São Paulo,https://lnb.com.br/noticias/corinthians-84-x-97-sao-paulo/
6,19/20,16/10/2019,19:30,UNIFACISA,76,60,Pato Basquete,https://lnb.com.br/noticias/unifacisa-76-x-60-pato-basquete/
7,19/20,16/10/2019,20:00,Brasília,78,63,Botafogo,https://lnb.com.br/noticias/universo-brasilia-78-x-63-botafogo/
8,19/20,17/10/2019,20:00,Paulistano,94,105,Mogi,https://lnb.com.br/noticias/paulistano-94-x-105-mogi-das-cruzes/
9,19/20,18/10/2019,19:30,Basq. Cearense,78,58,Pato Basquete,https://lnb.com.br/noticias/basquete-cearense-78-x-58-pato-basquete/
10,19/20,18/10/2019,20:00,São Paulo,73,67,São José,https://lnb.com.br/noticias/sao-paulo-73-x-67-sao-jose/
11,19/20,18/10/2019,21:10,Brasília,81,86,Flamengo,https://lnb.com.br/noticias/brasilia-81-x-86-flamengo/
12,19/20,19/10/2019,12:50,Corinthians,87,89,Sesi Franca,https://lnb.com.br/noticias/corinthians-87-x-89-franca/
13,19/20,21/10/2019,19:00,Pinheiros,87,96,Sesi Franca,https://lnb.com.br/noticias/pinheiros-87-x-96-sesi-franca-basquete/
14,19/20,21/10/2019,21:10,Corinthians,88,71,Bauru,https://lnb.com.br/noticias/corinthians-88-x-71-bauru-basket/
15,19/20,22/10/2019,19:00,Flamengo,78,75,Paulistano,https://lnb.com.br/noticias/flamengo-78-x-75-paulistano/
16,19/20,22/10/2019,20:00,São Paulo,80,83,Mogi,https://lnb.com.br/noticias/sao-paulo-80-x-83-mogi-das-cruzes/
17,19/20,22/10/2019,20:00,Rio Claro,89,90,Minas,https://lnb.com.br/noticias/rio-claro-89-x-90-minas-tenis-clube/
18,19/20,23/10/2019,20:00,Pinheiros,76,68,Bauru,https://lnb.com.br/noticias/pinheiros-76-x-68-sendi-bauru-basket/
19,19/20,24/10/2019,19:30,Pato Basquete,62,80,Minas,https://lnb.com.br/noticias/pato-basquete-62-x-80-minas-tenis-clube/
20,19/20,24/10/2019,20:00,Mogi,85,79,Corinthians,https://lnb.com.br/noticias/mogi-85-x-79-corinthians/
21,19/20,25/10/2019,20:00,Sesi Franca,86,75,UNIFACISA,https://lnb.com.br/noticias/franca-basquete-x-unifacisa/
22,19/20,25/10/2019,21:10,Flamengo,95,102,São Paulo,https://lnb.com.br/noticias/flamengo-95-x-102-sao-paulo/
23,19/20,26/10/2019,12:50,São José,70,85,Corinthians,https://lnb.com.br/noticias/sao-jose-70-x-85-corinthians/
24,19/20,26/10/2019,18:00,Rio Claro,76,81,Pinheiros,https://lnb.com.br/noticias/rio-claro-76-x-81-piniheiros/
25,19/20,27/10/2019,18:00,Bauru,92,99,UNIFACISA,https://lnb.com.br/noticias/bauru-92-x-99-unifacisa/
26,19/20,28/10/2019,20:00,Pato Basquete,73,76,Brasília,https://lnb.com.br/noticias/pato-basquete-73-x-76-brasilia-2/
27,19/20,29/10/2019,19:00,Sesi Franca,88,80,Basq. Cearense,https://lnb.com.br/noticias/franca-88-x-80-basquete-cearense/
28,19/20,29/10/2019,20:00,Botafogo,70,84,Paulistano,https://lnb.com.br/noticias/botafogo-70-x-84-paulistano/
29,19/20,30/10/2019,20:00,São José,84,89,Pinheiros,https://lnb.com.br/noticias/sao-jose-84-x-89-pinheiros/
30,19/20,30/10/2019,20:00,Rio Claro,75,86,Brasília,https://lnb.com.br/noticias/brasilia-x-renata-rio-claro/
31,19/20,31/10/2019,20:00,Bauru,90,80,Basq. Cearense,https://lnb.com.br/noticias/bauru-90-x-80-basquete-cearense/
32,19/20,01/11/2019,20:00,Mogi,73,69,Pinheiros,https://lnb.com.br/noticias/mogi-das-cruzes-73-x-69-pinheiros/
33,19/20,01/11/2019,21:10,Corinthians,102,76,Botafogo,https://lnb.com.br/noticias/corinthians-102-x-76-botafogo/
34,19/20,02/11/2019,12:50,São Paulo,75,78,Minas,https://lnb.com.br/noticias/sao-paulo-75-x-78-minas/
35,19/20,04/11/2019,19:30,Paulistano,80,76,Minas,https://lnb.com.br/noticias/paulistano-80-x-76-minas-tenis-clube/
36,19/20,04/11/2019,20:00,UNIFACISA,72,64,Botafogo,https://lnb.com.br/noticias/unifacisa-72-x-64-botafogo/
37,19/20,05/11/2019,20:00,Pato Basquete,47,82,Sesi Franca,https://lnb.com.br/noticias/pato-basquete-47-x-82-sesi-franca/
38,19/20,05/11/2019,20:00,Rio Claro,73,82,Corinthians,https://lnb.com.br/noticias/rio-claro-73-x-82-corinthians/
39,19/20,06/11/2019,19:00,UNIFACISA,79,80,Flamengo,https://lnb.com.br/noticias/unifacisa-79-x-80-flamengo/
40,19/20,06/11/2019,21:00,Basq. Cearense,72,76,Botafogo,https://lnb.com.br/noticias/basquete-cearense-72-x-76-botafogo/
41,19/20,07/11/2019,19:00,Bauru,96,98,São José,https://lnb.com.br/noticias/bauru-96-x-98-sao-jose/
42,19/20,07/11/2019,21:30,São Paulo,81,69,Brasília,https://lnb.com.br/noticias/sao-paulo-81-x-69-brasilia/
43,19/20,08/11/2019,20:00,Pato Basquete,67,81,Pinheiros,https://lnb.com.br/noticias/pato-basquete-61-x-87-pinheiros/
44,19/20,08/11/2019,21:10,Basq. Cearense,71,88,Flamengo,https://lnb.com.br/noticias/basquete-cearense-71-x-88-flamengo/
45,19/20,09/11/2019,12:50,Bauru,87,75,Mogi,https://lnb.com.br/noticias/bauru-87-x-75-mogi-das-cruzes/
46,19/20,09/11/2019,17:00,Paulistano,86,68,Brasília,https://lnb.com.br/noticias/paulistano-86-x-68-brasilia/
47,19/20,09/11/2019,18:00,Sesi Franca,95,90,São José,https://lnb.com.br/noticias/sesi-franca-basquete-95-x-90-sao-jose/
48,19/20,11/11/2019,20:00,Sesi Franca,86,80,Mogi,https://lnb.com.br/noticias/sesi-franca-basquete-86-x-80-sao-jose/
49,19/20,12/11/2019,20:00,Flamengo,76,59,Pato Basquete,https://lnb.com.br/noticias/flamengo-76-x-59-pato-basquete/
50,19/20,12/11/2019,20:00,Botafogo,78,85,São Paulo,https://lnb.com.br/noticias/botafogo-78-x-85-sao-paulo/
51,19/20,13/11/2019,20:00,Bauru,74,82,Paulistano,https://lnb.com.br/noticias/bauru-74-x-82-paulistano/
52,19/20,14/11/2019,20:00,Basq. Cearense,77,81,São José,https://lnb.com.br/noticias/basquete-cearense-77-x-81-sao-jose-basketball/
53,19/20,15/11/2019,20:00,Botafogo,85,79,Pato Basquete,https://lnb.com.br/noticias/botafogo-85-x-79-pato-basquete/
54,19/20,15/11/2019,21:10,Flamengo,74,75,Mogi,https://lnb.com.br/noticias/flamengo-74-x-75-mogi-das-cruzes/
55,19/20,16/11/2019,12:50,Sesi Franca,89,92,Paulistano,https://lnb.com.br/noticias/franca-89-x-92-paulistano/
56,19/20,16/11/2019,16:00,UNIFACISA,89,77,São José,https://lnb.com.br/noticias/unifacisa-89-x-77-sao-jose/
